Key,English,Français,Allemand,Espagnol,Chinois,Japonais,Portuguais,Russe
BerserkerDeath.Text1,Thanks for the healing btw…,"Merci pour le heal, hein...",,,,,,
BerserkerDeath.Text2,Useless support…,Support de m***...,,,,,,
BerserkerRevive.Text1,Guess who’s back…,Devinez qui revient...,,,,,,
BerserkerRevive.Text2,"NOOOOO! Let me die, please!",NOOOON ! Laissez moi mourir !,,,,,,
BerserkerRevive.Text3,It was so much better over there…,C'était tellement meilleur de l'autre côté...,,,,,,
BerserkerHealed.Text1,You're finally doing something!,"Ah, enfin un truc utile !",,,,,,
BerserkerHealed.Text2,"Stop healing me, I need my buff!","Arrête de me soigner, j'ai besoin de mon buff !",,,,,,
ArcherShield.Text1,Ooh… shiny!,Ooh... ça brille !,,,,,,
ArcherrShield.Text2,"Oh, it didn’t hit me ? Weird.","Oh, ça ne m'a pas touché ? Bizarre.",,,,,,
ArcherStrength.Text1,"Oh, thank you!","Oh, merci !",,,,,,
ArcherStrength.Text2,You’re so cute!,Trop mignon !,,,,,,
ArcherInitiative.Text1,I’ll shoot faster than him!,Je tirerais plus vite que lui !,,,,,,
ArcherInitiative.Text2,"Haha, take this!","Haha, prends ça !",,,,,,
ArcherPoison.Text1,"Hey, I'm supposed to be the one poisoning you!","Hey, c'est moi qui est censée l'empoisonner !",,,,,,
ArcherPoison.Text2,Urg ! That thing is disgusting!,Urg ! C'est dégoûtant !,,,,,,
ArcherBurning.Text1,"Oh no, my hair will be ruined!","Oh non, ça va ruiner mes cheveux !",,,,,,
ArcherBurning.Text2,I could use this to make fire arrows…,Je pourrais utiliser ça pour faire des flèches de feu...,,,,,,
ArcherRestrain.Text1,( ͡° ͜ʖ ͡°),( ͡° ͜ʖ ͡°),,,,,,
ArcherRestrain.Text2,"HAAA, WHAT THE HELL, IT'S SLIMY!","HAAA, C'EST QUOI ÇA, C'EST TOUT GLUANT !",,,,,,
ArcherRestrain.Text3,"Pegi 7, btw…","Pegi 7, hein...",,,,,,
ArcherRestrain.Text4,Eeew…!,Beurk…!,,,,,,
ArcherDisappeared.Text1,I don't feel so good…,Je me sens bizarre...,,,,,,
ArcherDisappeared.Text2,Byeeeee…,Byeeeee…,,,,,,
ArcherStun.Text1,"My head, it hurts…",Ma tête me fait mal...,,,,,,
ArcherSleep.Text1,Nap time…,C'est l'heure de la sieste...,,,,,,
ArcherSleep.Text2,I’ll… rest for a bit.,Je... vais me reposer un peu...,,,,,,
ArcherFatigue.Text1,I’m feeling sleepy…,Je suis fatiguée...,,,,,,
ArcherFatigue.Text2,*yawn*,*baille*,,,,,,
ArcherAFK.Text1,"Take your time, sweetheart!","Prends ton temps, chérie !",,,,,,
ArcherAFK.Text2,"Don’t worry, we’ll be fine!","T'inquiète pas, on s'en sortira !",,,,,,
ArcherDeath.Text1,"Oh, the misery…","Oh, non...",,,,,,
ArcherDeath.Text2,"Sorry, everyone…","Désolé, tout le monde...",,,,,,
ArcherRevive.Text1,"That was a weird dream… oh, hi there!","Quel rêve bizarre, oh salut tout le monde !",,,,,,
ArcherRevive.Text2,Oh no… please… let me go back there…,"Oh non... pitié, laissez moi retourner là bas...",,,,,,
ArcherHealed.Text1,Ooooh… It feels good!,Ooooh... ça fait du bien !,,,,,,
ArcherHealed.Text2,"Thank you, sweetheart!","Merci, chérie !",,,,,,
PaladinShield.Text1,The hand of justice is protecting me!,La main de la justice me protège !,,,,,,
PaladinShield.Text2,The only shield I need is the strength of my faith!,Je n'ai pas besoin d'autre bouclier que la force de ma foi !,,,,,,
PaladinStrength.Text1,I have the blessing of Mars!,J'ai la bénédiction de Mars !,,,,,,
PaladinStrength.Text2,No one can stop the power of justice!,Personne n'arrête le pouvoir de la justice !,,,,,,
PaladinInitiative.Text1,"Leader's first, as it should be. ;)","Le chef en premier, comme prévu. ;)",,,,,,
PaladinInitiative.Text2,I fear no one… I’ll go first!,Je n'ai peur de personne... j'y vais en premier !,,,,,,
PaladinProvoking.Text1,"Face me, if you dare!","Affronte-moi, si tu l'oses !",,,,,,
PaladinProvoking.Text2,"Be afraid of justice's wrath, monster!","Crains la colère de la justice, monstre !",,,,,,
PaladinProvoking.Text3,*I* will protect you all!,*JE* vais vous protéger !,,,,,,
PaladinPoison.Text1,No! Don't get my armor dirty!,Non ! Enlève ta crasse de mon armure !,,,,,,
PaladinPoison.Text2,"Urg, this will be hard to clean up…","Urg, ça va être dur à nettoyer...",,,,,,
PaladinBurning.Text1,"NOOO, NOT MY CAPE!","NOOON, PAS MA CAPE !",,,,,,
PaladinBurning.Text2,My armor is sooo going to be ruined…,Mon armure va être complètement ruinée...,,,,,,
PaladinRestrain.Text1,Get these things off me!,Enlevez moi ça !,,,,,,
PaladinRestrain.Text2,This is disgusting!,C'est dégoûtant !,,,,,,
PaladinDisappeared.Text1,Justice is calling me! I’ll be right back!,Euh... la justice m'appelle ! Je reviens bientôt !,,,,,,
PaladinDisappeared.Text2,Haha! He missed his spe…,"Haha, il a manqué son so...",,,,,,
PaladinStun.Text1,I knew I should have kept my helm on…,J'aurais dû garder mon casque...,,,,,,
PaladinStun.Text2,Ugh… It’s spinning really fast…,Ug... j'ai la tête qui tourne...,,,,,,
PaladinSleep.Text1,Justice… never… slee…*zzz*,La justice... ne dort... jam... *zzz*,,,,,,
PaladinSleep.Text2,Just… wake me up when you see an injustice…,Révéillez moi... quand vous verrez une injustice...,,,,,,
PaladinFatigue.Text1,My courage is… unwavering…,Mon courage... est inébranlable...,,,,,,
PaladinFatigue.Text2,Even justice takes a break sometimes…,Même la justice a besoin de pauses...,,,,,,
PaladinAFK.Text1,True heroes don't hesitate!,Les vrais héros n'hésitent pas !,,,,,,
PaladinAFK.Text2,Are you going to let justice die?!,Tu comptes laisser la justice mourir ?,,,,,,
PaladinAFK.Text3,Do something!,Fais quelque chose !,,,,,,
PaladinDeath.Text1,My light will never fade…,Ma lumière ne s'éteindra jamais...,,,,,,
PaladinDeath.Text2,My job here is done…,Travail terminé...,,,,,,
PaladinRevive.Text1,Heroes never die!,Les héros ne meurent jamais !,,,,,,
PaladinRevive.Text2,"NOOOO, DON’T WAKE ME UP!","NOOOON, NE ME RÉVEILLEZ PAS !",,,,,,
PaladinHealed.Text1,The gods are healing me!,Les dieux me soignent !,,,,,,
PaladinHealed.Text2,Aaah! The sweet kiss of justice.,Aaah ! Le doux baiser de la justice !,,,,,,
LevelMenu.Text.title,Levels,Niveaux,,,,,,
,,,,,,,,
BerserkerAttack.Name.Text,Rage,Rage,,,,,,
BerserkerAttack.Desc.Text,Deals 1 damage. Does 1 additional damage for each hp lost.,1 de dégât. Fait 1 de dégât en plus pour chaque point de vie perdu.,,,,,,
PaladinAttack.Name.Text,Sword slash,Coup d'Epée ,,,,,,
PaladinAttack.Desc.Text,Deals 1 damage to the target.,1 de dégât,,,,,,
PaladinStun.Name.Text,Stunning blow,,,,,,,
PaladinStun.Desc.Text,Stuns the target for 1 turn.,,,,,,,
PaladinProvoke.Name.Text,Taunt,,,,,,,
PaladinProvoke.Desc.Text,"Provokes the target for the next turn, becoming the target of all of their next attacks.",,,,,,,
ArcherAttack.Name.Text,Piercing arrow,,,,,,,
ArcherAttack.Desc.Text,Deals 2 damage to the target.,,,,,,,
ArcherPoison.Name.Text,Poison arrow,,,,,,,
ArcherPoison.Desc.Text,"Deals 1 damage. Poisons the target for 2 turns, making them suffer 1 damage per turn.",,,,,,,
KraqueenAttack.Name.Text,Tentacle slap,,,,,,,
KraqueenAttack.Desc.Text,Deals 1 damage to the target.,,,,,,,
KraqueenRestrain.Name.Text,Grapple,,,,,,,
KraqueenRestrain.Desc.Text,"Restrains the target for 3 turns, preventing any action until freed.",,,,,,,
KraqueenPoison.Name.Text,Venom splash,,,,,,,
KraqueenPoison.Desc.Text,"Poisons the target for 2 turns, making them suffer 1 damage per turn.",,,,,,,
OrcAttackBasic1.Name.Text,Club blow,,,,,,,
OrcAttackBasic1.Desc.Text,Deals 1 damage to the target.,,,,,,,
OrcAttackBasic2.Name.Text,Improved club blow,, ,,,,,
OrcAttackBasic2.Desc.Text,Deals 2 damage to the target.,,,,,,,
OrcStun.Name.Text,Concussion,,,,,,,
OrcStun.Desc.Text,Deals 1 damage. Stuns the target for 1 turn.,,,,,,,
CatStun.Name.Text,Kung fu master's claw,,,,,,,
CatStun.Desc.Text,Deals 2 damage. Stuns the target for 1 turn.,,,,,,,
CatEventJump.Name.Text,Tactical jump,,,,,,,
CatEventJump.Dest.Text,Jump into the air to dodge every attacks.,,,,,,,
CatEventFall.Name.Text,Cat missile incoming!,,,,,,,
CatEventFall.Desc.Text,"Falls to the ground, doing 2 damage to all allies and stunning them for 2 turns.",,,,,,,
CatFatigue.Name.Text,Good night,,,,,,,
CatFatigue.Desc.Text,Deals 1 damage. Applies fatigue to the target.,,,,,,,
ChadFireball.Name.Text,Fireball,,,,,,,
ChadFireball.Desc.Text,"Deals 1 damage. Burns the target for 2 turns, making them suffer 2 damage per turn.",,,,,,,
ChadLifesteal.Name.Text,Life drain,,,,,,,
ChadLifesteal.Desc.Text,Deals 1 damage. Heals for 1 hp. Applies fatigue to the target.,,,,,,,
ChadShuffle.Name.Text,Mage's gambit,,,,,,,
ChadShuffle.Desc.Text,"Shuffles your active spells, replacing them by random ones in your spellbook.",,,,,,,
ChadTeleport.Name.Text,Teleportation,,,,,,,
ChadTeleport.Desc.Text,"Teleports the target out of the fight, making them disappear for 3 turns.",,,,,,,
,,,,,,,,
Heal.Name.Text,Heal,,,,,,,
Heal.Desc.Text,Heals the target for 2 HP.,,,,,,,
MassHeal.Name.Text,Mass Heal,,,,,,,
MassHeal.Desc.Text,Heals all allies for 1 HP.,,,,,,,
Regeneration.Name.Text,Regeneration,,,,,,,
Regeneration.Desc.Text,Applies regeneration to the target. Heals 1 HP per turn for 3 turns.,,,,,,,
Resurrection.Name.Text,Resurrection,,,,,,,
Resurrection.Desc.Text,"If the target is dead, revives it with half their max health.",,,,,,,
Panacea.Name.Text,Panacea,,,,,,,
Panacea.Desc.Text,Heals 1 HP. Removes all status from the target (positive AND negative).,,,,,,,
SpiritShield.Name.Text,Spirit Shield,,,,,,,
SpiritShield.Desc.Text,Protects target from all damage for the next turn.,,,,,,,
ResonanceShield.Name.Text,Resonance Shield,,,,,,,
ResonanceShield.Desc.Text,"Sends back the attack to the attacker, as well as any effect or status.",,,,,,,
BlessingOfStrength.Name.Text,Blessing of Strength,,,,,,,
BlessingOfStrength.Desc.Text,Target’s attacks do +1 damage for 3 turns.,,,,,,,
ManaProfusion.Name.Text,Mana Profusion,,,,,,,
ManaProfusion.Desc.Text,Cost of the next spell casted is refunded.,,,,,,,
Initiative.Name.Text,Initiative,,,,,,,
Initiative.Desc.Text,Makes the target attack before the enemy.,,,,,,,
